bioguideId,name,terms,state,party,birthYear,sponsoredLegislation_count,sponsoredLegislation_url,cosponsoredLegislation_count,cosponsoredLegislation_url,years_house,years_senate
M001183,"Manchin, Joe, III","{'item': [{'chamber': 'Senate', 'startYear': 2010}]}",West Virginia,Democratic,1947,480.0,https://api.congress.gov/v3/member/M001183/sponsored-legislation,1702,https://api.congress.gov/v3/member/M001183/cosponsored-legislation,0,14
L000575,"Lankford, James","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2011}, {'chamber': 'Senate', 'startYear': 2015}]}",Oklahoma,Republican,1968,490.0,https://api.congress.gov/v3/member/L000575/sponsored-legislation,1798,https://api.congress.gov/v3/member/L000575/cosponsored-legislation,5,9
K000377,"Kelly, Mark","{'item': [{'chamber': 'Senate', 'startYear': 2020}]}",Arizona,Democratic,1964,84.0,https://api.congress.gov/v3/member/K000377/sponsored-legislation,562,https://api.congress.gov/v3/member/K000377/cosponsored-legislation,0,4
H001079,"Hyde-Smith, Cindy","{'item': [{'chamber': 'Senate', 'startYear': 2018}]}",Mississippi,Republican,1959,93.0,https://api.congress.gov/v3/member/H001079/sponsored-legislation,987,https://api.congress.gov/v3/member/H001079/cosponsored-legislation,0,6
K000384,"Kaine, Tim","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",Virginia,Democratic,1958,300.0,https://api.congress.gov/v3/member/K000384/sponsored-legislation,2031,https://api.congress.gov/v3/member/K000384/cosponsored-legislation,0,11
J000293,"Johnson, Ron","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}",Wisconsin,Republican,1955,547.0,https://api.congress.gov/v3/member/J000293/sponsored-legislation,1202,https://api.congress.gov/v3/member/J000293/cosponsored-legislation,0,13
H001061,"Hoeven, John","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}",North Dakota,Republican,1957,451.0,https://api.congress.gov/v3/member/H001061/sponsored-legislation,1625,https://api.congress.gov/v3/member/H001061/cosponsored-legislation,0,13
H001042,"Hirono, Mazie K.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2013}]}",Hawaii,Democratic,1947,532.0,https://api.congress.gov/v3/member/H001042/sponsored-legislation,4169,https://api.congress.gov/v3/member/H001042/cosponsored-legislation,7,11
H001089,"Hawley, Josh","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}",Missouri,Republican,1979,201.0,https://api.congress.gov/v3/member/H001089/sponsored-legislation,612,https://api.congress.gov/v3/member/H001089/cosponsored-legislation,0,5
H001076,"Hassan, Margaret Wood","{'item': [{'chamber': 'Senate', 'startYear': 2017}]}",New Hampshire,Democratic,1958,246.0,https://api.congress.gov/v3/member/H001076/sponsored-legislation,1945,https://api.congress.gov/v3/member/H001076/cosponsored-legislation,0,7
