Legislation Number,URL,Congress,Sponsor,Number of Cosponsors,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor
S. 1348,https://www.congress.gov/bill/113th-congress/senate-bill/1348,113th Congress (2013-2014),"Carper, Thomas R. [Sen.-D-DE]",1,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1302,https://www.congress.gov/bill/113th-congress/senate-bill/1302,113th Congress (2013-2014),"Harkin, Tom [Sen.-D-IA]",50,"Murray, Patty [Sen.-D-WA]","Roberts, Pat [Sen.-R-KS]","Murkowski, Lisa [Sen.-R-AK]","Franken, Al [Sen.-D-MN]","McCaskill, Claire [Sen.-D-MO]","Blunt, Roy [Sen.-R-MO]","Moran, Jerry [Sen.-R-KS]","Hagan, Kay R. [Sen.-D-NC]","Johnson, Tim [Sen.-D-SD]","Nelson, Bill [Sen.-D-FL]","Heinrich, Martin [Sen.-D-NM]","Grassley, Chuck [Sen.-R-IA]","Inhofe, James M. [Sen.-R-OK]","Shaheen, Jeanne [Sen.-D-NH]","Isakson, Johnny [Sen.-R-GA]","Boozman, John [Sen.-R-AR]","Donnelly, Joe [Sen.-D-IN]","Enzi, Michael B. [Sen.-R-WY]","Chambliss, Saxby [Sen.-R-GA]","Cochran, Thad [Sen.-R-MS]","Johanns, Mike [Sen.-R-NE]","Kirk, Mark Steven [Sen.-R-IL]","Wicker, Roger F. [Sen.-R-MS]","Durbin, Richard J. [Sen.-D-IL]","Whitehouse, Sheldon [Sen.-D-RI]","Barrasso, John [Sen.-R-WY]","Mikulski, Barbara A. [Sen.-D-MD]","Stabenow, Debbie [Sen.-D-MI]","Pryor, Mark L. [Sen.-D-AR]","Thune, John [Sen.-R-SD]","Fischer, Deb [Sen.-R-NE]","Udall, Tom [Sen.-D-NM]","Manchin, Joe, III [Sen.-D-WV]","Warren, Elizabeth [Sen.-D-MA]","Tester, Jon [Sen.-D-MT]","Gillibrand, Kirsten E. [Sen.-D-NY]","Hoeven, John [Sen.-R-ND]","Collins, Susan M. [Sen.-R-ME]","Heitkamp, Heidi [Sen.-D-ND]","Sessions, Jeff [Sen.-R-AL]","Brown, Sherrod [Sen.-D-OH]","Portman, Rob [Sen.-R-OH]","Kaine, Tim [Sen.-D-VA]","Cardin, Benjamin L. [Sen.-D-MD]","Warner, Mark R. [Sen.-D-VA]","Schatz, Brian [Sen.-D-HI]","Udall, Mark [Sen.-D-CO]","Landrieu, Mary L. [Sen.-D-LA]","Begich, Mark [Sen.-D-AK]","Risch, James E. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1276,https://www.congress.gov/bill/113th-congress/senate-bill/1276,113th Congress (2013-2014),"Tester, Jon [Sen.-D-MT]",7,"Coburn, Tom [Sen.-R-OK]","McCaskill, Claire [Sen.-D-MO]","Johnson, Ron [Sen.-R-WI]","Portman, Rob [Sen.-R-OH]","Nelson, Bill [Sen.-D-FL]","Baucus, Max [Sen.-D-MT]","Begich, Mark [Sen.-D-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1254,https://www.congress.gov/bill/113th-congress/senate-bill/1254,113th Congress (2013-2014),"Nelson, Bill [Sen.-D-FL]",18,"Rockefeller, John D., IV [Sen.-D-WV]","Landrieu, Mary L. [Sen.-D-LA]","Cantwell, Maria [Sen.-D-WA]","Cardin, Benjamin L. [Sen.-D-MD]","Wicker, Roger F. [Sen.-R-MS]","Begich, Mark [Sen.-D-AK]","Merkley, Jeff [Sen.-D-OR]","Blumenthal, Richard [Sen.-D-CT]","Portman, Rob [Sen.-R-OH]","King, Angus S., Jr. [Sen.-I-ME]","Gillibrand, Kirsten E. [Sen.-D-NY]","Schatz, Brian [Sen.-D-HI]","Whitehouse, Sheldon [Sen.-D-RI]","Boxer, Barbara [Sen.-D-CA]","Wyden, Ron [Sen.-D-OR]","Heinrich, Martin [Sen.-D-NM]","Hirono, Mazie K. [Sen.-D-HI]","Markey, Edward J. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1237,https://www.congress.gov/bill/113th-congress/senate-bill/1237,113th Congress (2013-2014),"Wyden, Ron [Sen.-D-OR]",1,"Murkowski, Lisa [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1214,https://www.congress.gov/bill/113th-congress/senate-bill/1214,113th Congress (2013-2014),"Brown, Sherrod [Sen.-D-OH]",2,"Rockefeller, John D., IV [Sen.-D-WV]","Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1171,https://www.congress.gov/bill/113th-congress/senate-bill/1171,113th Congress (2013-2014),"Moran, Jerry [Sen.-R-KS]",12,"Cochran, Thad [Sen.-R-MS]","Grassley, Chuck [Sen.-R-IA]","Enzi, Michael B. [Sen.-R-WY]","Stabenow, Debbie [Sen.-D-MI]","Barrasso, John [Sen.-R-WY]","Gillibrand, Kirsten E. [Sen.-D-NY]","King, Angus S., Jr. [Sen.-I-ME]","Roberts, Pat [Sen.-R-KS]","Fischer, Deb [Sen.-R-NE]","Collins, Susan M. [Sen.-R-ME]","Durbin, Richard J. [Sen.-D-IL]","Burr, Richard [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1104,https://www.congress.gov/bill/113th-congress/senate-bill/1104,113th Congress (2013-2014),"Nelson, Bill [Sen.-D-FL]",3,"Landrieu, Mary L. [Sen.-D-LA]","Cardin, Benjamin L. [Sen.-D-MD]","Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1093,https://www.congress.gov/bill/113th-congress/senate-bill/1093,113th Congress (2013-2014),"Cochran, Thad [Sen.-R-MS]",1,"Wicker, Roger F. [Sen.-R-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1086,https://www.congress.gov/bill/113th-congress/senate-bill/1086,113th Congress (2013-2014),"Mikulski, Barbara A. [Sen.-D-MD]",7,"Harkin, Tom [Sen.-D-IA]","Alexander, Lamar [Sen.-R-TN]","Burr, Richard [Sen.-R-NC]","Gillibrand, Kirsten E. [Sen.-D-NY]","Ayotte, Kelly [Sen.-R-NH]","Shaheen, Jeanne [Sen.-D-NH]","Landrieu, Mary L. [Sen.-D-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1068,https://www.congress.gov/bill/113th-congress/senate-bill/1068,113th Congress (2013-2014),"Begich, Mark [Sen.-D-AK]",8,"Wicker, Roger F. [Sen.-R-MS]","Schatz, Brian [Sen.-D-HI]","Blumenthal, Richard [Sen.-D-CT]","Merkley, Jeff [Sen.-D-OR]","Mikulski, Barbara A. [Sen.-D-MD]","Cochran, Thad [Sen.-R-MS]","Nelson, Bill [Sen.-D-FL]","Cantwell, Maria [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1044,https://www.congress.gov/bill/113th-congress/senate-bill/1044,113th Congress (2013-2014),"Portman, Rob [Sen.-R-OH]",2,"Landrieu, Mary L. [Sen.-D-LA]","Blunt, Roy [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1000,https://www.congress.gov/bill/113th-congress/senate-bill/1000,113th Congress (2013-2014),"Warner, Mark R. [Sen.-D-VA]",1,"Kaine, Tim [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 994,https://www.congress.gov/bill/113th-congress/senate-bill/994,113th Congress (2013-2014),"Warner, Mark R. [Sen.-D-VA]",10,"Portman, Rob [Sen.-R-OH]","Whitehouse, Sheldon [Sen.-D-RI]","McCain, John [Sen.-R-AZ]","Enzi, Michael B. [Sen.-R-WY]","Coburn, Tom [Sen.-R-OK]","Ayotte, Kelly [Sen.-R-NH]","Johnson, Ron [Sen.-R-WI]","Coons, Christopher A. [Sen.-D-DE]","Carper, Thomas R. [Sen.-D-DE]","Murray, Patty [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 982,https://www.congress.gov/bill/113th-congress/senate-bill/982,113th Congress (2013-2014),"Alexander, Lamar [Sen.-R-TN]",3,"McConnell, Mitch [Sen.-R-KY]","Corker, Bob [Sen.-R-TN]","Paul, Rand [Sen.-R-KY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 954,https://www.congress.gov/bill/113th-congress/senate-bill/954,113th Congress (2013-2014),"Stabenow, Debbie [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 947,https://www.congress.gov/bill/113th-congress/senate-bill/947,113th Congress (2013-2014),"Hagan, Kay R. [Sen.-D-NC]",7,"Johanns, Mike [Sen.-R-NE]","Manchin, Joe, III [Sen.-D-WV]","Toomey, Patrick [Sen.-R-PA]","Merkley, Jeff [Sen.-D-OR]","Heitkamp, Heidi [Sen.-D-ND]","Johnson, Tim [Sen.-D-SD]","Crapo, Mike [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 898,https://www.congress.gov/bill/113th-congress/senate-bill/898,113th Congress (2013-2014),"Udall, Tom [Sen.-D-NM]",1,"Heinrich, Martin [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 893,https://www.congress.gov/bill/113th-congress/senate-bill/893,113th Congress (2013-2014),"Sanders, Bernard [Sen.-I-VT]",17,"Rockefeller, John D., IV [Sen.-D-WV]","Murray, Patty [Sen.-D-WA]","Burr, Richard [Sen.-R-NC]","Isakson, Johnny [Sen.-R-GA]","Brown, Sherrod [Sen.-D-OH]","Tester, Jon [Sen.-D-MT]","Begich, Mark [Sen.-D-AK]","Johanns, Mike [Sen.-R-NE]","Blumenthal, Richard [Sen.-D-CT]","Boozman, John [Sen.-R-AR]","Moran, Jerry [Sen.-R-KS]","Heller, Dean [Sen.-R-NV]","Hirono, Mazie K. [Sen.-D-HI]","Markey, Edward J. [Sen.-D-MA]","Collins, Susan M. [Sen.-R-ME]","Landrieu, Mary L. [Sen.-D-LA]","Murkowski, Lisa [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 885,https://www.congress.gov/bill/113th-congress/senate-bill/885,113th Congress (2013-2014),"Sanders, Bernard [Sen.-I-VT]",1,"Leahy, Patrick J. [Sen.-D-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 853,https://www.congress.gov/bill/113th-congress/senate-bill/853,113th Congress (2013-2014),"Collins, Susan M. [Sen.-R-ME]",15,"Rockefeller, John D., IV [Sen.-D-WV]","Roberts, Pat [Sen.-R-KS]","Nelson, Bill [Sen.-D-FL]","Murkowski, Lisa [Sen.-R-AK]","Chambliss, Saxby [Sen.-R-GA]","Thune, John [Sen.-R-SD]","Isakson, Johnny [Sen.-R-GA]","McCaskill, Claire [Sen.-D-MO]","Begich, Mark [Sen.-D-AK]","Hagan, Kay R. [Sen.-D-NC]","Risch, James E. [Sen.-R-ID]","Udall, Mark [Sen.-D-CO]","Warner, Mark R. [Sen.-D-VA]","Heller, Dean [Sen.-R-NV]","Toomey, Patrick [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 815,https://www.congress.gov/bill/113th-congress/senate-bill/815,113th Congress (2013-2014),"Merkley, Jeff [Sen.-D-OR]",56,"Harkin, Tom [Sen.-D-IA]","Collins, Susan M. [Sen.-R-ME]","Kirk, Mark Steven [Sen.-R-IL]","Baldwin, Tammy [Sen.-D-WI]","Leahy, Patrick J. [Sen.-D-VT]","Baucus, Max [Sen.-D-MT]","Levin, Carl [Sen.-D-MI]","Lautenberg, Frank R. [Sen.-D-NJ]","Mikulski, Barbara A. [Sen.-D-MD]","Feinstein, Dianne [Sen.-D-CA]","Boxer, Barbara [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Reed, Jack [Sen.-D-RI]","Stabenow, Debbie [Sen.-D-MI]","Brown, Sherrod [Sen.-D-OH]","McCaskill, Claire [Sen.-D-MO]","Sanders, Bernard [Sen.-I-VT]","Whitehouse, Sheldon [Sen.-D-RI]","Hagan, Kay R. [Sen.-D-NC]","Shaheen, Jeanne [Sen.-D-NH]","Udall, Mark [Sen.-D-CO]","Udall, Tom [Sen.-D-NM]","Warner, Mark R. [Sen.-D-VA]","Bennet, Michael F. [Sen.-D-CO]","Gillibrand, Kirsten E. [Sen.-D-NY]","Franken, Al [Sen.-D-MN]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","Murphy, Christopher [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Cowan, William M. [Sen.-D-MA]","Wyden, Ron [Sen.-D-OR]","Cardin, Benjamin L. [Sen.-D-MD]","Klobuchar, Amy [Sen.-D-MN]","Heinrich, Martin [Sen.-D-NM]","Landrieu, Mary L. [Sen.-D-LA]","Menendez, Robert [Sen.-D-NJ]","Durbin, Richard J. [Sen.-D-IL]","Schumer, Charles E. [Sen.-D-NY]","Begich, Mark [Sen.-D-AK]","Casey, Robert P., Jr. [Sen.-D-PA]","Donnelly, Joe [Sen.-D-IN]","Tester, Jon [Sen.-D-MT]","Cantwell, Maria [Sen.-D-WA]","King, Angus S., Jr. [Sen.-I-ME]","Heitkamp, Heidi [Sen.-D-ND]","Carper, Thomas R. [Sen.-D-DE]","Rockefeller, John D., IV [Sen.-D-WV]","Reid, Harry [Sen.-D-NV]","Johnson, Tim [Sen.-D-SD]","Markey, Edward J. [Sen.-D-MA]","Nelson, Bill [Sen.-D-FL]","Booker, Cory A. [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 812,https://www.congress.gov/bill/113th-congress/senate-bill/812,113th Congress (2013-2014),"Wyden, Ron [Sen.-D-OR]",1,"Murkowski, Lisa [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 796,https://www.congress.gov/bill/113th-congress/senate-bill/796,113th Congress (2013-2014),"Durbin, Richard J. [Sen.-D-IL]",1,"Kirk, Mark Steven [Sen.-R-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 793,https://www.congress.gov/bill/113th-congress/senate-bill/793,113th Congress (2013-2014),"Menendez, Robert [Sen.-D-NJ]",3,"Corker, Bob [Sen.-R-TN]","Udall, Tom [Sen.-D-NM]","Rubio, Marco [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 744,https://www.congress.gov/bill/113th-congress/senate-bill/744,113th Congress (2013-2014),"Schumer, Charles E. [Sen.-D-NY]",7,"McCain, John [Sen.-R-AZ]","Durbin, Richard J. [Sen.-D-IL]","Graham, Lindsey [Sen.-R-SC]","Menendez, Robert [Sen.-D-NJ]","Bennet, Michael F. [Sen.-D-CO]","Rubio, Marco [Sen.-R-FL]","Flake, Jeff [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 743,https://www.congress.gov/bill/113th-congress/senate-bill/743,113th Congress (2013-2014),"Enzi, Michael B. [Sen.-R-WY]",29,"Durbin, Richard J. [Sen.-D-IL]","Alexander, Lamar [Sen.-R-TN]","Heitkamp, Heidi [Sen.-D-ND]","Levin, Carl [Sen.-D-MI]","Harkin, Tom [Sen.-D-IA]","Rockefeller, John D., IV [Sen.-D-WV]","Feinstein, Dianne [Sen.-D-CA]","Collins, Susan M. [Sen.-R-ME]","Johnson, Tim [Sen.-D-SD]","Landrieu, Mary L. [Sen.-D-LA]","Reed, Jack [Sen.-D-RI]","Carper, Thomas R. [Sen.-D-DE]","Graham, Lindsey [Sen.-R-SC]","Pryor, Mark L. [Sen.-D-AR]","Cardin, Benjamin L. [Sen.-D-MD]","Corker, Bob [Sen.-R-TN]","Klobuchar, Amy [Sen.-D-MN]","Whitehouse, Sheldon [Sen.-D-RI]","Udall, Mark [Sen.-D-CO]","Warner, Mark R. [Sen.-D-VA]","Franken, Al [Sen.-D-MN]","Manchin, Joe, III [Sen.-D-WV]","Blunt, Roy [Sen.-R-MO]","Boozman, John [Sen.-R-AR]","Hirono, Mazie K. [Sen.-D-HI]","King, Angus S., Jr. [Sen.-I-ME]","Warren, Elizabeth [Sen.-D-MA]","Cowan, William M. [Sen.-D-MA]","Murphy, Christopher [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 716,https://www.congress.gov/bill/113th-congress/senate-bill/716,113th Congress (2013-2014),"Reid, Harry [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 706,https://www.congress.gov/bill/113th-congress/senate-bill/706,113th Congress (2013-2014),"Feinstein, Dianne [Sen.-D-CA]",6,"Grassley, Chuck [Sen.-R-IA]","Wyden, Ron [Sen.-D-OR]","Klobuchar, Amy [Sen.-D-MN]","Udall, Tom [Sen.-D-NM]","Blumenthal, Richard [Sen.-D-CT]","Heitkamp, Heidi [Sen.-D-ND]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 684,https://www.congress.gov/bill/113th-congress/senate-bill/684,113th Congress (2013-2014),"Johnson, Tim [Sen.-D-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 668,https://www.congress.gov/bill/113th-congress/senate-bill/668,113th Congress (2013-2014),"Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 653,https://www.congress.gov/bill/113th-congress/senate-bill/653,113th Congress (2013-2014),"Blunt, Roy [Sen.-R-MO]",22,"Levin, Carl [Sen.-D-MI]","Blumenthal, Richard [Sen.-D-CT]","Stabenow, Debbie [Sen.-D-MI]","Boozman, John [Sen.-R-AR]","Johanns, Mike [Sen.-R-NE]","Coats, Daniel [Sen.-R-IN]","Rubio, Marco [Sen.-R-FL]","Scott, Tim [Sen.-R-SC]","Crapo, Mike [Sen.-R-ID]","Collins, Susan M. [Sen.-R-ME]","Moran, Jerry [Sen.-R-KS]","Wicker, Roger F. [Sen.-R-MS]","Sessions, Jeff [Sen.-R-AL]","Pryor, Mark L. [Sen.-D-AR]","Cornyn, John [Sen.-R-TX]","Roberts, Pat [Sen.-R-KS]","Kaine, Tim [Sen.-D-VA]","Enzi, Michael B. [Sen.-R-WY]","Kirk, Mark Steven [Sen.-R-IL]","Portman, Rob [Sen.-R-OH]","Cruz, Ted [Sen.-R-TX]","Toomey, Patrick [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 622,https://www.congress.gov/bill/113th-congress/senate-bill/622,113th Congress (2013-2014),"Harkin, Tom [Sen.-D-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 611,https://www.congress.gov/bill/113th-congress/senate-bill/611,113th Congress (2013-2014),"Udall, Tom [Sen.-D-NM]",1,"Heinrich, Martin [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 609,https://www.congress.gov/bill/113th-congress/senate-bill/609,113th Congress (2013-2014),"Udall, Tom [Sen.-D-NM]",1,"Heinrich, Martin [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 601,https://www.congress.gov/bill/113th-congress/senate-bill/601,113th Congress (2013-2014),"Boxer, Barbara [Sen.-D-CA]",1,"Vitter, David [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 579,https://www.congress.gov/bill/113th-congress/senate-bill/579,113th Congress (2013-2014),"Menendez, Robert [Sen.-D-NJ]",22,"Coats, Daniel [Sen.-R-IN]","Inhofe, James M. [Sen.-R-OK]","Johnson, Tim [Sen.-D-SD]","Blunt, Roy [Sen.-R-MO]","Chambliss, Saxby [Sen.-R-GA]","Cardin, Benjamin L. [Sen.-D-MD]","Fischer, Deb [Sen.-R-NE]","Tester, Jon [Sen.-D-MT]","Heinrich, Martin [Sen.-D-NM]","Crapo, Mike [Sen.-R-ID]","Isakson, Johnny [Sen.-R-GA]","Rubio, Marco [Sen.-R-FL]","Cochran, Thad [Sen.-R-MS]","Blumenthal, Richard [Sen.-D-CT]","Murkowski, Lisa [Sen.-R-AK]","Boozman, John [Sen.-R-AR]","Boxer, Barbara [Sen.-D-CA]","Johanns, Mike [Sen.-R-NE]","Murphy, Christopher [Sen.-D-CT]","Wyden, Ron [Sen.-D-OR]","Cruz, Ted [Sen.-R-TX]","Grassley, Chuck [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 540,https://www.congress.gov/bill/113th-congress/senate-bill/540,113th Congress (2013-2014),"Shaheen, Jeanne [Sen.-D-NH]",1,"Ayotte, Kelly [Sen.-R-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 517,https://www.congress.gov/bill/113th-congress/senate-bill/517,113th Congress (2013-2014),"Leahy, Patrick J. [Sen.-D-VT]",10,"Hatch, Orrin G. [Sen.-R-UT]","Grassley, Chuck [Sen.-R-IA]","Klobuchar, Amy [Sen.-D-MN]","Franken, Al [Sen.-D-MN]","Lee, Mike [Sen.-R-UT]","Whitehouse, Sheldon [Sen.-D-RI]","Bennet, Michael F. [Sen.-D-CO]","Thune, John [Sen.-R-SD]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
